,hormaechei-steigerwaltii-1,roggenkampii,hormaechei-hoffmannii-1,unchar-1,ludwigii,hormaechei-xiangfangensis,asburiae,kobei,cloacae,hormaechei-oharae,hormaechei-steigerwaltii-2,hormaechei-steigerwaltii-3,unchar-2,hormaechei-hormaechei,unchar-3,bugandensis,cancerogenous,unchar-4,hormaechei-hoffmannii-2
Ebacter_C10830,0.0,0.0,0.0,0.0,0.0,0.030897003900376623,0.0,0.5517772267368528,0.0,0.0,0.0,1.0130402223365353,0.0,0.0,0.0,0.0,0.26226825251356123,0.43850016775762224,0.6188642651173039
Ebacter_C79063,0.0,0.004531225735159668,0.00465991359243192,0.0,0.02708382731072743,0.06777960781498399,0.20879714779644382,0.0,0.20271945239268405,0.0,0.6360802708483769,0.0,0.0,0.0,0.05158341011419086,0.0,0.0,0.0,0.0
Ebacter_C15323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9310727793837008,0.0,0.0,0.0,0.0,2.4608527761226715e-07,0.9720437893888495,0.0,0.0,0.4468308690902094,0.0,0.0
Ebacter_C46848,0.8700836062847147,0.903134476687733,0.9933668549391271,0.026669853691366742,0.9578917526696595,0.8090862941474539,0.9004621590343499,0.9253715715905115,0.8846043191684946,0.9721320033404978,0.8668407916966363,0.878748596774793,0.09394891052233699,0.959348967897545,0.14836805210122794,0.9121973261471712,0.9243221405519387,0.1380509188913162,0.0042910371859964085
Ebacter_C19168,0.0,0.12286821236079613,0.1409281490551019,0.9232852714863407,0.0,0.08131640521289836,0.020085482089418023,0.07516152042513044,0.02902087534869842,0.0,0.0,0.02971240281902632,0.0,0.35845437465662905,0.6781070082984673,0.00022996623356535313,0.0,0.0,0.0
Ebacter_C99383,0.18564762890479314,0.0,0.6316894689678729,0.06049099629892559,0.0,0.24601985965521747,0.0,0.0,0.0,0.4948708715397951,0.5802798186885352,0.27709240347379394,0.12450532191677748,0.0,0.07103470283483884,0.0,0.11576842833160354,0.38842731189069346,0.13306166662713234
Ebacter_C109732,0.03862066431910645,0.0,0.0,0.0,0.0,0.0,0.11751486463155707,0.0,0.0,0.16918966416371872,0.0732758975901623,0.0,0.03531304614781563,0.717390975499491,1.3699589258580993,0.0,0.07974240415391844,0.01652443248435935,0.49978986922836144
Ebacter_C128038,0.9955873295815361,0.0,0.0,0.0,0.0,1.0198527929491346,0.0,0.0,0.0,0.9822028752321165,0.9481279367557093,0.908854200023569,0.0,0.0,0.0,0.0,0.0,0.00675964414779877,0.0
Ebacter_C96801,0.0,0.0,0.9800537785899772,0.0,0.0,0.01093429214056454,0.0,0.0,0.0,0.0010899325022043112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0009395997381296
Ebacter_C54165,0.0,0.2501343575403282,0.008441068500634821,0.0,0.035396081844450825,0.0,0.030258354201309418,0.0,0.0435331907547637,0.3300063105586135,0.05340840054627017,0.0,0.0,0.0,0.09484095211945438,0.0,0.0,0.28541851282173447,0.3397371740296525
Ebacter_C6185,0.9465860971097879,0.0,0.9589105878975976,0.0,0.9813783913172951,0.9618434771831871,0.0,0.0,0.9123164320853004,0.9721040335684947,0.9232439740220592,0.9019834854053632,0.005033792671935725,0.9751891240336409,0.012797135264881606,0.9597362758959552,0.9517768937476013,0.023039010240860542,0.9296142030082153
Ebacter_C40921,0.9040715862923827,0.0,0.9716610879702651,0.0,0.3663426368771375,0.9370719963980152,0.0,0.0,3.205713905247596e-05,0.0,0.8950274905276164,0.0,0.04280201888044818,0.9835991956604505,0.0,0.03831025622614269,0.06450350167173931,0.04961202386351482,0.9209758654794272
Ebacter_C24317,0.0,0.24906910738190702,0.0,0.0,0.0,0.07982858258110245,0.0,0.6398351037905727,0.14215426304544282,0.0,0.0,0.0,0.005252136103221521,1.022685350573277,0.038138061528990394,0.704330262117849,0.07363257244895836,0.0,0.0
Ebacter_C84422,0.9704981423380178,0.0,0.0,0.0,0.9945445339519354,1.005064553612148,0.012298297872733129,0.0,0.0014805111332117811,0.9731656661546879,0.9321060415788053,0.8984980128453605,0.005836011190445145,0.987883287522804,0.0,1.0166679274444592,0.0817612668083669,0.0,0.0
Ebacter_C86450,0.201740953313302,0.03463787915159656,0.0,0.0,0.12233949694645505,0.15036891899655797,0.0,0.04827696470797616,0.0,0.0,0.19029142112204703,0.0,0.0,0.07946927969923744,0.06615437406532139,0.1773187394266446,0.0,0.09273584884837502,0.24199851329636707
Ebacter_C25683,0.0,0.07672148101484531,0.0,0.0,0.0,0.0,0.9695147592864473,0.0,0.8907078467126202,0.0,0.0,0.0,0.0,0.0,0.044779994279369954,0.0,0.8333099160721152,0.009148206019479946,0.0
Ebacter_C21073,0.8561070859758666,0.9093306432750444,0.9161807067532881,0.043585080577515055,0.9600660636596496,0.8449427976986652,0.9139785688170491,0.8847915327917487,0.8845810495248517,0.9334815244582767,0.8965482565338737,0.872800542349361,0.07389732528319205,0.8985490513516866,0.10833311624297486,0.8520658757610275,0.9070196852409481,0.15492259692723473,0.8696605591773152
Ebacter_C26366,0.0,0.9903735782280066,0.0,0.0,0.0,0.0,0.9975737016476337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01742444967377211,0.0
